c:\users\elfim\server5342\ospanel\modules\database\MariaDB-10.4\bin\mysqld.exe, Version: 10.4.26-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
		    14 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    15 Query	SHOW TABLES FROM `phpmyadmin`
		    14 Query	SELECT 1 FROM mysql.user LIMIT 1
		    14 Query	SELECT CURRENT_USER()
		    14 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    15 Quit	
		    14 Quit	
		    16 Connect	root@localhost as anonymous on 
		    16 Query	SELECT @@version, @@version_comment
		    16 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    16 Query	SET lc_messages = 'ru_RU'
		    17 Connect	root@localhost as anonymous on 
		    17 Query	SHOW TABLES FROM `phpmyadmin`
		    16 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    17 Query	SHOW TABLES FROM `phpmyadmin`
		    16 Query	SELECT 1 FROM mysql.user LIMIT 1
		    16 Query	SELECT CURRENT_USER()
		    16 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    17 Quit	
		    16 Quit	
		    18 Connect	root@localhost as anonymous on 
		    18 Query	SELECT @@version, @@version_comment
		    18 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    18 Query	SET lc_messages = 'ru_RU'
		    19 Connect	root@localhost as anonymous on 
		    19 Query	SHOW TABLES FROM `phpmyadmin`
		    18 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    19 Query	SHOW TABLES FROM `phpmyadmin`
		    18 Query	SELECT CURRENT_USER()
		    18 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    18 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    18 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    18 Query	SELECT 1 FROM mysql.user LIMIT 1
		    18 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    19 Quit	
		    18 Quit	
		    20 Connect	root@localhost as anonymous on 
		    20 Query	SELECT @@version, @@version_comment
		    20 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    20 Query	SET lc_messages = 'ru_RU'
		    21 Connect	root@localhost as anonymous on 
		    21 Query	SHOW TABLES FROM `phpmyadmin`
		    20 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    21 Query	SHOW TABLES FROM `phpmyadmin`
		    20 Query	SELECT 1 FROM mysql.user LIMIT 1
		    20 Query	SELECT CURRENT_USER()
		    20 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    21 Quit	
		    20 Quit	
230622  1:42:08	    22 Connect	root@localhost as anonymous on 
		    22 Query	SELECT @@version, @@version_comment
		    22 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    22 Query	SET lc_messages = 'ru_RU'
		    23 Connect	root@localhost as anonymous on 
		    23 Query	SHOW TABLES FROM `phpmyadmin`
		    23 Query	SHOW TABLES FROM `mysql`
		    22 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    23 Query	SHOW TABLES FROM `phpmyadmin`
		    23 Query	SHOW TABLES FROM `mysql`
		    22 Init DB	mysql
		    22 Query	SHOW TABLES FROM `mysql`
		    22 Query	SELECT @@lower_case_table_names
		    22 Query	SELECT *, `TABLE_SCHEMA`       AS `Db`, `TABLE_NAME`         AS `Name`, `TABLE_TYPE`         AS `TABLE_TYPE`, `ENGINE`             AS `Engine`, `ENGINE`             AS `Type`, `VERSION`            AS `Version`, `ROW_FORMAT`         AS `Row_format`, `TABLE_ROWS`         AS `Rows`, `AVG_ROW_LENGTH`     AS `Avg_row_length`, `DATA_LENGTH`        AS `Data_length`, `MAX_DATA_LENGTH`    AS `Max_data_length`, `INDEX_LENGTH`       AS `Index_length`, `DATA_FREE`          AS `Data_free`, `AUTO_INCREMENT`     AS `Auto_increment`, `CREATE_TIME`        AS `Create_time`, `UPDATE_TIME`        AS `Update_time`, `CHECK_TIME`         AS `Check_time`, `TABLE_COLLATION`    AS `Collation`, `CHECKSUM`           AS `Checksum`, `CREATE_OPTIONS`     AS `Create_options`, `TABLE_COMMENT`      AS `Comment` FROM `information_schema`.`TABLES` t WHERE `TABLE_SCHEMA` COLLATE utf8_general_ci IN ('mysql')  ORDER BY Name ASC LIMIT 250 OFFSET 0
		    22 Query	SHOW MASTER STATUS
		    22 Query	SHOW SLAVE STATUS
		    22 Query	SELECT `COLLATION_NAME` AS `Collation`, `CHARACTER_SET_NAME` AS `Charset`, `ID` AS `Id`, `IS_DEFAULT` AS `Default`, `IS_COMPILED` AS `Compiled`, `SORTLEN` AS `Sortlen` FROM `information_schema`.`COLLATIONS`
		    22 Query	SELECT COUNT(*) FROM `mysql`.`gtid_slave_pos`
		    22 Query	SELECT COUNT(*) FROM `mysql`.`innodb_index_stats`
		    22 Query	SELECT COUNT(*) FROM `mysql`.`innodb_table_stats`
		    22 Query	SELECT COUNT(*) FROM `mysql`.`transaction_registry`
		    22 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mysql' LIMIT 1
		    22 Query	SELECT @@storage_engine
		    22 Query	SELECT CURRENT_USER()
		    22 Query	SHOW TABLES FROM `mysql`
		    22 Query	SELECT 1 FROM mysql.user LIMIT 1
		    22 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    22 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    22 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    23 Quit	
		    22 Quit	
		    24 Connect	root@localhost as anonymous on 
		    24 Query	SELECT @@version, @@version_comment
		    24 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    24 Query	SET lc_messages = 'ru_RU'
		    25 Connect	root@localhost as anonymous on 
		    25 Query	SHOW TABLES FROM `phpmyadmin`
		    24 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    25 Query	SHOW TABLES FROM `phpmyadmin`
		    24 Query	SELECT CURRENT_USER()
		    24 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT @@lower_case_table_names
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` COLLATE utf8_general_ci='mysql' AND `ROUTINE_TYPE`='FUNCTION'
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` COLLATE utf8_general_ci='mysql'AND `ROUTINE_TYPE`='PROCEDURE'
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` COLLATE utf8_general_ci='mysql'
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    24 Query	SELECT 1 FROM mysql.user LIMIT 1
		    24 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    25 Quit	
		    24 Quit	
		    26 Connect	root@localhost as anonymous on 
		    26 Query	SELECT @@version, @@version_comment
		    26 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    26 Query	SET lc_messages = 'ru_RU'
		    27 Connect	root@localhost as anonymous on 
		    27 Query	SHOW TABLES FROM `phpmyadmin`
		    26 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    27 Query	SHOW TABLES FROM `phpmyadmin`
		    26 Query	SELECT CURRENT_USER()
		    26 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    26 Query	SELECT @@lower_case_table_names
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` COLLATE utf8_general_ci='mysql' AND `ROUTINE_TYPE`='FUNCTION'
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` COLLATE utf8_general_ci='mysql'AND `ROUTINE_TYPE`='PROCEDURE'
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` COLLATE utf8_general_ci='mysql'
		    26 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED') ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    26 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mysql' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    26 Query	SELECT 1 FROM mysql.user LIMIT 1
		    26 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    27 Quit	
		    26 Quit	
230622  1:44:10	    28 Connect	root@localhost as anonymous on mydatabase
230622  1:44:45	    29 Connect	root@localhost as anonymous on 
		    29 Query	SELECT @@version, @@version_comment
		    29 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    29 Query	SET lc_messages = 'ru_RU'
		    30 Connect	root@localhost as anonymous on 
		    30 Query	SHOW TABLES FROM `phpmyadmin`
		    29 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    30 Query	SHOW TABLES FROM `phpmyadmin`
		    29 Query	SELECT 1 FROM mysql.user LIMIT 1
		    29 Init DB	mysql
		    29 Query	SELECT CURRENT_USER()
		    29 Query	SELECT `CHARACTER_SET_NAME` AS `Charset`, `DEFAULT_COLLATE_NAME` AS `Default collation`, `DESCRIPTION` AS `Description`, `MAXLEN` AS `Maxlen` FROM `information_schema`.`CHARACTER_SETS`
		    29 Query	SELECT `COLLATION_NAME` AS `Collation`, `CHARACTER_SET_NAME` AS `Charset`, `ID` AS `Id`, `IS_DEFAULT` AS `Default`, `IS_COMPILED` AS `Compiled`, `SORTLEN` AS `Sortlen` FROM `information_schema`.`COLLATIONS`
		    29 Query	SHOW SESSION VARIABLES LIKE 'character_set_server'
		    29 Query	SELECT USER()
		    29 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    29 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    29 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    29 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    30 Quit	
		    29 Quit	
		    31 Connect	root@localhost as anonymous on 
		    31 Query	SELECT @@version, @@version_comment
		    31 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    31 Query	SET lc_messages = 'ru_RU'
		    32 Connect	root@localhost as anonymous on 
		    32 Query	SHOW TABLES FROM `phpmyadmin`
		    31 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    32 Query	SHOW TABLES FROM `phpmyadmin`
		    31 Query	SELECT 1 FROM mysql.user LIMIT 1
		    31 Query	SELECT CURRENT_USER()
		    31 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    32 Quit	
		    31 Quit	
		    33 Connect	root@localhost as anonymous on 
		    33 Query	SELECT @@version, @@version_comment
		    33 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    33 Query	SET lc_messages = 'ru_RU'
		    34 Connect	root@localhost as anonymous on 
		    34 Query	SHOW TABLES FROM `phpmyadmin`
		    33 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    34 Query	SHOW TABLES FROM `phpmyadmin`
		    33 Query	SELECT CURRENT_USER()
		    33 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    33 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    33 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    33 Query	SELECT 1 FROM mysql.user LIMIT 1
		    33 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    34 Quit	
		    33 Quit	
		    35 Connect	root@localhost as anonymous on 
		    35 Query	SELECT @@version, @@version_comment
		    35 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    35 Query	SET lc_messages = 'ru_RU'
		    36 Connect	root@localhost as anonymous on 
		    36 Query	SHOW TABLES FROM `phpmyadmin`
		    35 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    36 Query	SHOW TABLES FROM `phpmyadmin`
		    35 Query	SELECT 1 FROM mysql.user LIMIT 1
		    35 Query	SELECT CURRENT_USER()
		    35 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    36 Quit	
		    35 Quit	
		    37 Connect	root@localhost as anonymous on 
		    37 Query	SELECT @@version, @@version_comment
